ọ̀gbọ̀	45
ṣọ̀tẹ̀	45
ààbọ̀	45
ìrọ̀lẹ́	45
túbú	45
ìṣọ́	44
móṣè	44
lá	44
ẹ̀	44
ọlọgbọ́n	44
kédárì	44
dojúkọ	44
sún	44
ìdámẹ́wàá	44
aṣálẹ̀	44
ìgboyà	44
pàtàkì	44
ìpìlẹ̀	43
ọrùn	43
ọ̀ràn	43
jóṣẹ́fù	43
dín	43
ìmọ̀ràn	43
abo	43
ìhòòhò	43
wọ̀n	43
kùn	43
jẹ́wọ́	43
àjàkálẹ̀-àrùn	43
olùgbé	43
ró	43
ìtàn	43
títóbi	43
olódi	42
lòpọ̀	42
bolẹ̀	42
kọrin	42
ẹ̀sùn	42
gbin	42
pèṣè	42
réré	42
tírè	42
árámù	42
pípa	42
ṣàánú	42
ẹ̀bẹ̀	42
mẹ́rẹ̀ẹ̀rin	42
kórè	42
síta	42
ìdè	42
tẹ̀dó	42
òmìnira	42
ìgbékùn	41
ìdáhùn	41
òdì	41
àyè	41
irúgbìn	41
oyin	41
àpapọ̀	41
àbúrò	41
níyà	41
ìjìyà	41
sedekáyà	41
fọwọ́	41
alàgbà	41
sínágọ́gù	41
hámánì	41
ọpẹ́	41
ìkórè	41
dúpẹ́	41
hùwà	41
yá	41
lókè	41
ólífì	41
ṣókè	41
ìró	41
pípẹ́	41
fílípì	40
gùn	40
àtijọ́	40
tẹ́ḿpílì	40
jogún	40
olùtọ́jú	40
fara	40
ìbáwí	40
òde	40
àwọ̀	40
sámúsónì	40
yọ́	40
kànga	40
wúndíá	40
lọ́kàn	40
kúkú	40
ẹ́sítà	39
ìrìnàjò	39
tòsí	39
yẹ̀	39
ẹyin	39
ẹnìkọ̀ọ̀kan	39
olè	39
kọlù	39
akọni	39
láradá	39
àwọ̀n	39
àṣè	39
áhásáyà	39
ológun	39
ríi	39
ṣébà	38
ìtara	38
gíbíónì	38
oore	38
áhásì	38
in	38
hù	38
àsè	38
mélòó	38
lọ́jọ́	38
ìbátan	38
ìṣàlẹ̀	38
wádìí	38
darí	38
ṣá	38
amọ̀	38
ná	38
àkóso	37
wé	37
ròyìn	37
jínjìn	37
jìn	37
áà	37
rin	37
gúṣù	37
àsọtẹ́lẹ̀	37
aláṣẹ	37
ìgbìmọ̀	37
àtìpó	37
rámà	37
ejò	37
ibí	37
rara	37
àpò	37
ro	37
lẹ́bàá	37
síónì	37
ìbúra	37
adé	36
pípé	36
fọ́n	36
gún	36
ẹlẹgbẹ́	36
samáríà	36
ọlọ́dún	36
níbí	36
pohùnréré	36
ẹlẹ́ṣẹ̀	36
ìdá	36
jásí	36
ẹ̀tọ́	36
pupa	36
aṣiwèrè	36
kódà	36
ọlọ̀tẹ̀	36
gbọ́ràn	35
ọrun	35
túmọ̀	35
